TimeStep;Displacement
0;-0.0859355
0.0001;-0.0841785
0.0002;-0.0790745
0.0003;-0.071328
0.0004;-0.0619347
0.0005;-0.051968
0.0006;-0.0423795
0.0007;-0.03387
0.0008;-0.0268611
0.0009;-0.0215602
0.001;-0.0180797
0.0011;-0.0165518
0.0012;-0.0171887
0.0013;-0.020259
0.0014;-0.0259893
0.0015;-0.03443
0.0016;-0.0453456
0.0017;-0.0581798
0.0018;-0.0721255
0.0019;-0.086287
0.002;-0.0998854
0.0021;-0.11244
0.0022;-0.123856
0.0023;-0.134379
0.0024;-0.144427
0.0025;-0.154343
0.0026;-0.164151
0.0027;-0.173412
0.0028;-0.181229
0.0029;-0.18642
0.003;-0.187829
0.0031;-0.184666
0.0032;-0.176797
0.0033;-0.16487
0.0034;-0.150248
0.0035;-0.134753
0.0036;-0.120281
0.0037;-0.10842
0.0038;-0.100146
0.0039;-0.0957046
0.004;-0.0946828
0.0041;-0.0962378
0.0042;-0.0994057
0.0043;-0.103382
0.0044;-0.107689
0.0045;-0.112194
0.0046;-0.116978
0.0047;-0.12213
0.0048;-0.127546
0.0049;-0.132813
0.005;-0.137236
0.0051;-0.139979
0.0052;-0.140299
0.0053;-0.137767
0.0054;-0.132403
0.0055;-0.124677
0.0056;-0.115366
0.0057;-0.105321
0.0058;-0.0952177
0.0059;-0.0853776
0.006;-0.0757306
0.0061;-0.0659223
0.0062;-0.0555356
0.0063;-0.0443469
0.0064;-0.0325263
0.0065;-0.0207088
0.0066;-0.00990575
0.0067;-0.00127873
0.0068;0.00415257
0.0069;0.00577945
0.007;0.0035656
0.0071;-0.00194582
0.0072;-0.00977587
0.0073;-0.0187524
0.0074;-0.0277699
0.0075;-0.0359862
0.0076;-0.0429003
0.0077;-0.0483032
0.0078;-0.0521393
0.0079;-0.0543448
0.008;-0.0547362
0.0081;-0.0529996
0.0082;-0.0487867
0.0083;-0.0418843
0.0084;-0.0323876
0.0085;-0.0208056
0.0086;-0.00804541
0.0087;0.00473437
0.0088;0.0163639
0.0089;0.0259239
0.009;0.0329458
0.0091;0.0374833
0.0092;0.0400324
0.0093;0.0413249
0.0094;0.0420636
0.0095;0.0426865
0.0096;0.0432375
0.0097;0.0433845
0.0098;0.0425755
0.0099;0.0402788
0.01;0.0362258
0.0101;0.030575
0.0102;0.0239439
0.0103;0.0173042
0.0104;0.0117738
0.0105;0.00837857
0.0106;0.00785505
0.0107;0.0105515
0.0108;0.0164427
0.0109;0.0252355
0.011;0.0365106
0.0111;0.049841
0.0112;0.0648397
0.0113;0.0811271
0.0114;0.098242
0.0115;0.115548
0.0116;0.132191
0.0117;0.147151
0.0118;0.159387
0.0119;0.168045
0.012;0.172665
0.0121;0.173312
0.0122;0.170594
0.0123;0.165538
0.0124;0.159362
0.0125;0.153209
0.0126;0.147912
0.0127;0.143873
0.0128;0.141071
0.0129;0.139195
0.013;0.137851
0.0131;0.136761
0.0132;0.135907
0.0133;0.135549
0.0134;0.136148
0.0135;0.138207
0.0136;0.1421
0.0137;0.147949
0.0138;0.15558
0.0139;0.164574
0.014;0.174373
0.0141;0.184401
0.0142;0.194143
0.0143;0.203167
0.0144;0.211073
0.0145;0.217427
0.0146;0.221696
0.0147;0.223264
0.0148;0.22152
0.0149;0.216014
0.015;0.206638
0.0151;0.193756
0.0152;0.178237
0.0153;0.161355
0.0154;0.144571
0.0155;0.129257
0.0156;0.116439
0.0157;0.106627
0.0158;0.0997956
0.0159;0.095508
0.016;0.0931438
0.0161;0.0921489
0.0162;0.0922258
0.0163;0.0934007
0.0164;0.0959475
0.0165;0.100202
0.0166;0.106338
0.0167;0.114182
0.0168;0.123155
0.0169;0.132343
0.017;0.140697
0.0171;0.14728
0.0172;0.15149
0.0173;0.153159
0.0174;0.152518
0.0175;0.150029
0.0176;0.146139
0.0177;0.141063
0.0178;0.134676
0.0179;0.126553
0.018;0.116165
0.0181;0.10316
0.0182;0.0876455
0.0183;0.0703558
0.0184;0.0526436
0.0185;0.0362783
0.0186;0.0230941
0.0187;0.014586
0.0188;0.0115666
0.0189;0.0139838
0.019;0.0209489
0.0191;0.0309641
0.0192;0.0422805
0.0193;0.053281
0.0194;0.0627811
0.0195;0.0701745
0.0196;0.0753971
0.0197;0.0787469
0.0198;0.0806323
0.0199;0.081341
0.02;0.0809039
0.0201;0.07909
0.0202;0.0755206
0.0203;0.0698501
0.0204;0.0619426
0.0205;0.0519793
0.0206;0.0404606
0.0207;0.0281066
0.0208;0.0156965
0.0209;0.00390597
0.021;-0.00680008
0.0211;-0.0161865
0.0212;-0.0241794
0.0213;-0.0307439
0.0214;-0.0357635
0.0215;-0.0389728
0.0216;-0.0399773
0.0217;-0.0383594
0.0218;-0.0338387
0.0219;-0.0264314
0.022;-0.0165515
0.0221;-0.005014
0.0222;0.00706813
0.0223;0.0184694
0.0224;0.0280673
0.0225;0.0350274
0.0226;0.0389109
0.0227;0.0396777
0.0228;0.0375987
0.0229;0.0331105
0.023;0.0266688
0.0231;0.018646
0.0232;0.00930365
0.0233;-0.0011596
0.0234;-0.0125118
0.0235;-0.0243873
0.0236;-0.0362268
0.0237;-0.0472916
0.0238;-0.0567551
0.0239;-0.0638526
0.024;-0.0680466
0.0241;-0.0691581
0.0242;-0.0674234
0.0243;-0.0634564
0.0244;-0.0581236
0.0245;-0.052364
0.0246;-0.047002
0.0247;-0.0426011
0.0248;-0.0393961
0.0249;-0.0373161
0.025;-0.0360887
0.0251;-0.0353909
0.0252;-0.0350046
0.0253;-0.0349309
0.0254;-0.0354343
0.0255;-0.0370034
0.0256;-0.0402409
0.0257;-0.045709
0.0258;-0.0537704
0.0259;-0.064464
0.026;-0.0774429
0.0261;-0.0919907
0.0262;-0.107111
0.0263;-0.121668
0.0264;-0.134552
0.0265;-0.144832
0.0266;-0.151868
0.0267;-0.155366
0.0268;-0.155372
0.0269;-0.152219
0.027;-0.146434
0.0271;-0.138651
0.0272;-0.129529
0.0273;-0.119704
0.0274;-0.109766
0.0275;-0.100262
0.0276;-0.0917093
0.0277;-0.0845884
0.0278;-0.0793292
0.0279;-0.0762671
0.028;-0.075589
0.0281;-0.0772823
0.0282;-0.0811078
0.0283;-0.08661
0.0284;-0.093171
0.0285;-0.100101
0.0286;-0.106742
0.0287;-0.112565
0.0288;-0.117227
0.0289;-0.120584
0.029;-0.122641
0.0291;-0.123478
0.0292;-0.123158
0.0293;-0.121653
0.0294;-0.118826
0.0295;-0.114457
0.0296;-0.10832
0.0297;-0.10029
0.0298;-0.0904324
0.0299;-0.0790606
0.03;-0.0667291
