TimeStep;Stress
0;208.294
0.0001;215.21
0.0002;231.836
0.0003;247.676
0.0004;249.057
0.0005;223.581
0.0006;164.227
0.0007;71.7987
0.0008;-44.9826
0.0009;-171.684
0.001;-291.867
0.0011;-391.046
0.0012;-459.665
0.0013;-494.236
0.0014;-496.495
0.0015;-471.124
0.0016;-423.038
0.0017;-355.375
0.0018;-268.931
0.0019;-163.238
0.002;-38.7832
0.0021;100.615
0.0022;246.343
0.0023;385.235
0.0024;501.69
0.0025;581.144
0.0026;613.836
0.0027;597.605
0.0028;538.744
0.0029;450.502
0.003;349.608
0.0031;251.858
0.0032;168.099
0.0033;101.862
0.0034;49.3534
0.0035;1.76914
0.0036;-50.8688
0.0037;-115.6
0.0038;-193.476
0.0039;-278.521
0.004;-359.005
0.0041;-420.571
0.0042;-450.192
0.0043;-439.717
0.0044;-387.95
0.0045;-300.725
0.0046;-189.103
0.0047;-66.398
0.0048;54.9474
0.0049;165.679
0.005;260.621
0.0051;338.087
0.0052;398.244
0.0053;441.224
0.0054;465.747
0.0055;468.803
0.0056;446.484
0.0057;395.612
0.0058;315.528
0.0059;209.36
0.006;84.2856
0.0061;-49.3189
0.0062;-179.583
0.0063;-295.156
0.0064;-386.945
0.0065;-449.137
0.0066;-479.363
0.0067;-478.171
0.0068;-448.176
0.0069;-393.292
0.007;-318.315
0.0071;-228.863
0.0072;-131.46
0.0073;-33.4479
0.0074;57.5729
0.0075;134.806
0.0076;193.621
0.0077;232.755
0.0078;254.827
0.0079;265.804
0.008;273.34
0.0081;284.361
0.0082;302.553
0.0083;326.587
0.0084;349.729
0.0085;361.154
0.0086;348.722
0.0087;302.51
0.0088;218.123
0.0089;98.7961
0.009;-44.3824
0.0091;-194.236
0.0092;-330.829
0.0093;-435.476
0.0094;-494.377
0.0095;-500.988
0.0096;-456.636
0.0097;-369.421
0.0098;-251.9
0.0099;-118.344
0.01;17.6632
0.0101;144.758
0.0102;254.322
0.0103;340.229
0.0104;398.27
0.0105;425.74
0.0106;421.453
0.0107;386.189
0.0108;323.257
0.0109;238.76
0.011;141.192
0.0111;40.2344
0.0112;-55.0117
0.0113;-137.893
0.0114;-205.533
0.0115;-259.131
0.0116;-303.032
0.0117;-342.77
0.0118;-382.677
0.0119;-423.808
0.012;-462.882
0.0121;-492.629
0.0122;-503.494
0.0123;-486.196
0.0124;-434.393
0.0125;-346.646
0.0126;-227.143
0.0127;-85.022
0.0128;67.4149
0.0129;216.978
0.013;351.668
0.0131;462.008
0.0132;541.417
0.0133;585.81
0.0134;592.865
0.0135;561.508
0.0136;491.974
0.0137;386.505
0.0138;250.376
0.0139;92.6882
0.014;-73.6529
0.0141;-233.124
0.0142;-369.898
0.0143;-470.775
0.0144;-527.949
0.0145;-540.707
0.0146;-515.469
0.0147;-463.999
0.0148;-400.225
0.0149;-336.545
0.015;-280.696
0.0151;-234.135
0.0152;-192.41
0.0153;-147.381
0.0154;-90.588
0.0155;-16.6879
0.0156;74.1269
0.0157;175.466
0.0158;276.011
0.0159;362.287
0.016;422.014
0.0161;447.013
0.0162;434.79
0.0163;388.443
0.0164;315.057
0.0165;223.299
0.0166;121.081
0.0167;14.1169
0.0168;-94.2158
0.0169;-201.822
0.017;-306.195
0.0171;-402.896
0.0172;-484.955
0.0173;-543.579
0.0174;-570.043
0.0175;-558.178
0.0176;-506.579
0.0177;-419.694
0.0178;-307.303
0.0179;-182.436
0.018;-58.3144
0.0181;54.7314
0.0182;151.384
0.0183;231.792
0.0184;300.201
0.0185;362.22
0.0186;421.649
0.0187;477.968
0.0188;525.379
0.0189;553.825
0.019;551.733
0.0191;509.652
0.0192;423.669
0.0193;297.472
0.0194;142.394
0.0195;-24.6709
0.0196;-184.875
0.0197;-321.522
0.0198;-423.476
0.0199;-486.92
0.02;-515.036
0.0201;-515.809
0.0202;-498.743
0.0203;-471.554
0.0204;-437.864
0.0205;-396.588
0.0206;-343.087
0.0207;-271.658
0.0208;-178.464
0.0209;-63.9552
0.021;66.0197
0.0211;200.732
0.0212;326.553
0.0213;429.762
0.0214;499.349
0.0215;529.018
0.0216;517.9
0.0217;469.926
0.0218;392.21
0.0219;293.078
0.022;180.4
0.0221;60.7057
0.0222;-60.7641
0.0223;-179.302
0.0224;-289.748
0.0225;-385.834
0.0226;-460.27
0.0227;-505.694
0.0228;-516.271
0.0229;-489.425
0.023;-427.107
0.0231;-336.078
0.0232;-226.985
0.0233;-112.381
0.0234;-4.16176
0.0235;88.8602
0.0236;162.58
0.0237;217.929
0.0238;259.823
0.0239;295.007
0.024;329.442
0.0241;365.984
0.0242;403.046
0.0243;434.637
0.0244;451.802
0.0245;445.048
0.0246;407.118
0.0247;335.323
0.0248;232.82
0.0249;108.492
0.025;-24.5395
